city,chengjiao_href,chengjiao_title,area_sqm,total_selling_price,total_deal_price,unit_deal_price,deal_date,post_to_deal_days,facing,huxing,floor,furbishing,elevator,year
sh,https://sh.lianjia.com/chengjiao/107100057486.html,中远两湾城 1室2厅 77.32平米,77.32,590.0,575.0,74367.0,2018-08-15,165,南,1室2厅,中楼层(共32层),精装,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107100224704.html,中远两湾城 1室2厅 65.78平米,65.78,525.0,500.0,76011.0,2018-08-12,113,南,1室2厅,高楼层(共34层),精装,有电梯,2005
sh,https://sh.lianjia.com/chengjiao/107100289851.html,中远两湾城 2室2厅 104.41平米,104.41,765.0,748.0,71641.0,2018-08-02,80,南,2室2厅,中楼层(共30层),精装,有电梯,2001
sh,https://sh.lianjia.com/chengjiao/107100311534.html,中远两湾城 2室2厅 118.4平米,118.4,798.0,765.0,64612.0,2018-07-25,64,南北,2室2厅,低楼层(共34层),精装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107100485216.html,中远两湾城 车位 55万,-1.0,55.0,52.0,14294.0,2018-07-23,2,南,车位,地下室(共9层),其他,无电梯,板楼
sh,https://sh.lianjia.com/chengjiao/107100278406.html,中远两湾城 3室2厅 124.69平米,124.69,820.0,820.0,65764.0,2018-07-16,67,南,3室2厅,低楼层(共34层),精装,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107000391579.html,中远两湾城 1室2厅 62.76平米,62.76,460.0,450.0,71702.0,2018-07-15,168,南北,1室2厅,低楼层(共32层),精装,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107100291544.html,中远两湾城 2室2厅 103.44平米,103.44,700.0,690.0,66706.0,2018-07-05,52,南,2室2厅,中楼层(共32层),毛坯,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107100358069.html,中远两湾城 1室2厅 65.26平米,65.26,512.0,503.8,77199.0,2018-06-26,20,南,1室2厅,低楼层(共34层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107002235119.html,中远两湾城 1室2厅 67.38平米,67.38,495.0,478.0,70941.0,2018-06-21,234,南,1室2厅,低楼层(共34层),简装,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107100197455.html,中远两湾城 3室2厅 121.82平米,121.82,860.0,832.0,68298.0,2018-06-19,68,南北,3室2厅,低楼层(共30层),精装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107100125261.html,中远两湾城 2室1厅 90.72平米,90.72,668.0,650.0,71650.0,2018-06-19,90,南,2室1厅,低楼层(共32层),精装,有电梯,2004
sh,https://sh.lianjia.com/chengjiao/107001285473.html,中远两湾城 1室2厅 62.25平米,62.25,535.0,504.0,80964.0,2018-06-05,323,西南,1室2厅,高楼层(共34层),精装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107100283538.html,中远两湾城 4室2厅 166平米,166.0,1300.0,1240.0,74699.0,2018-05-29,17,西南,4室2厅,高楼层(共27层),精装,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107100146774.html,中远两湾城 2室2厅 101.5平米,101.5,700.0,696.0,68572.0,2018-05-16,50,东南,2室2厅,高楼层(共33层),其他,有电梯,2001
sh,https://sh.lianjia.com/chengjiao/107000183275.html,中远两湾城 1室2厅 89.78平米,89.78,688.0,449.0,50012.0,2018-05-13,115,西南,1室2厅,中楼层(共27层),简装,有电梯,2004
sh,https://sh.lianjia.com/chengjiao/107100101682.html,中远两湾城 1室2厅 62.25平米,62.25,467.0,460.0,73896.0,2018-05-05,52,南,1室2厅,低楼层(共34层),简装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107001379861.html,中远两湾城 1室2厅 61.51平米,61.51,500.0,495.0,80475.0,2018-04-28,155,南,1室2厅,低楼层(共34层),精装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107100085638.html,中远两湾城 2室2厅 102.04平米,102.04,685.0,677.0,66347.0,2018-04-24,45,南,2室2厅,低楼层(共32层),精装,有电梯,2001
sh,https://sh.lianjia.com/chengjiao/107100201589.html,中远两湾城 车位 62万,-1.0,62.0,62.0,19231.0,2018-04-24,11,南,车位,地下室(共9层),其他,无电梯,板楼
sh,https://sh.lianjia.com/chengjiao/107002328669.html,中远两湾城 车位,-1.0,63.0,60.0,19481.0,2018-04-23,100,暂无数据,车位,地下室(共9层),其他,无电梯,板楼
sh,https://sh.lianjia.com/chengjiao/107000134237.html,中远两湾城 1室2厅 72.94平米,72.94,570.0,560.0,76776.0,2018-04-21,359,东,1室2厅,高楼层(共33层),精装,有电梯,2001
sh,https://sh.lianjia.com/chengjiao/107100216967.html,中远两湾城 车位 65万,-1.0,65.0,62.0,20130.0,2018-04-20,2,南,车位,地下室(共9层),其他,无电梯,板楼
sh,https://sh.lianjia.com/chengjiao/107000154831.html,中远两湾城 1室2厅 82.21平米,82.21,580.0,580.0,70552.0,2018-04-15,195,东南,1室2厅,低楼层(共32层),精装,有电梯,2004
sh,https://sh.lianjia.com/chengjiao/107002327587.html,中远两湾城 1室2厅 64.09平米,64.09,540.0,510.0,79576.0,2018-04-11,89,南,1室2厅,中楼层(共30层),精装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107000259405.html,中远两湾城 1室2厅 69.56平米,69.56,545.0,527.0,75762.0,2018-04-09,336,南,1室2厅,中楼层(共34层),精装,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107100114226.html,中远两湾城 3室2厅 145.32平米,145.32,1020.0,995.0,68470.0,2018-04-08,21,南北,3室2厅,高楼层(共26层),精装,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107002305801.html,中远两湾城 2室2厅 113.57平米,113.57,805.0,800.0,70442.0,2018-04-05,102,南,2室2厅,低楼层(共34层),精装,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107100016561.html,中远两湾城 2室2厅 97.5平米,97.5,668.0,655.0,67180.0,2018-04-05,43,南,2室2厅,低楼层(共30层),精装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107100114656.html,中远两湾城 1室2厅 62.36平米,62.36,498.0,492.0,78897.0,2018-04-01,14,南,1室2厅,低楼层(共34层),精装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107100105558.html,中远两湾城 1室2厅 62.36平米,62.36,520.0,517.0,82906.0,2018-03-31,15,南,1室2厅,中楼层(共34层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107000172793.html,中远两湾城 1室2厅 59.65平米,59.65,498.0,493.0,82649.0,2018-03-30,318,南,1室2厅,中楼层(共34层),精装,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107002216029.html,中远两湾城 1室2厅 75.31平米,75.31,630.0,628.0,83389.0,2018-03-21,157,南,1室2厅,中楼层(共34层),精装,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107002108931.html,中远两湾城 2室2厅 113.57平米,113.57,840.0,815.0,71762.0,2018-03-20,231,南,2室2厅,中楼层(共34层),毛坯,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107100038862.html,中远两湾城 2室2厅 97.93平米,97.93,720.0,707.0,72195.0,2018-03-19,21,南,2室2厅,中楼层(共32层),精装,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107000381683.html,中远两湾城 1室2厅 74.64平米,74.64,610.0,608.0,81458.0,2018-03-18,190,南,1室2厅,高楼层(共27层),精装,有电梯,2006
sh,https://sh.lianjia.com/chengjiao/107002321283.html,中远两湾城 车位,-1.0,62.0,61.0,19063.0,2018-01-31,24,暂无数据,车位,低楼层(共9层),其他,无电梯,板楼
sh,https://sh.lianjia.com/chengjiao/107000097985.html,中远两湾城 1室2厅 72.64平米,72.64,555.0,543.0,74753.0,2018-01-30,84,南,1室2厅,中楼层(共34层),简装,有电梯,2001
sh,https://sh.lianjia.com/chengjiao/107002159055.html,中远两湾城 2室2厅 112.53平米,112.53,750.0,735.0,65316.0,2018-01-28,146,南,2室2厅,高楼层(共34层),简装,有电梯,2005
