city,chengjiao_href,chengjiao_title,area_sqm,total_selling_price,total_deal_price,unit_deal_price,deal_date,post_to_deal_days,facing,huxing,floor,furbishing,elevator,year
sh,https://sh.lianjia.com/chengjiao/107010022315.html,翠湖天地雅苑 2室2厅 116.36平米,116.36,840,840.0,72190.0,2015-08-27,1328,南,2室2厅,低楼层(共20层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010020477.html,翠湖天地雅苑 2室2厅 192平米,192.0,1430,1325.0,69011.0,2015-08-17,1318,南,2室2厅,低楼层(共25层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010022691.html,翠湖天地雅苑 3室2厅 202.44平米,202.44,1830,1900.0,93855.0,2015-08-17,1318,南,3室2厅,中楼层(共11层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010012656.html,翠湖天地雅苑 2室2厅 104.62平米,104.62,835,835.0,79813.0,2015-07-11,1281,南,2室2厅,低楼层(共12层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010018281.html,翠湖天地雅苑 2室2厅 108.19平米,108.19,810,810.0,74869.0,2015-07-09,1279,南,2室2厅,低楼层(共12层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010013568.html,翠湖天地雅苑 --室--厅 185.51平米,185.51,1300,1320.0,71156.0,2015-06-30,1270,暂无数据,--室--厅,中楼层(共25层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010016954.html,翠湖天地雅苑 3室2厅 170.77平米,170.77,1438,1438.0,84207.0,2015-06-21,1261,南,3室2厅,中楼层(共25层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010015686.html,翠湖天地雅苑 2室2厅 119.8平米,119.8,None,920.0,76795.0,2015-05-27,1236,南,2室2厅,低楼层(共25层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010013542.html,翠湖天地雅苑 3室2厅 190.13平米,190.13,2480,1430.0,75212.0,2015-05-23,1232,南,3室2厅,中楼层(共25层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010012065.html,翠湖天地雅苑 4室2厅 232.86平米,232.86,1900,1900.0,81595.0,2015-04-29,1208,南,4室2厅,低楼层(共20层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010012565.html,翠湖天地雅苑 3室2厅 202.63平米,202.63,None,1660.0,81923.0,2015-04-20,1199,南,3室2厅,中楼层(共11层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010010863.html,翠湖天地雅苑 2室2厅 108.12平米,108.12,None,769.0,71125.0,2015-03-13,1161,南,2室2厅,低楼层(共10层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010009743.html,翠湖天地雅苑 --室--厅 190.13平米,190.13,1700,1390.0,73108.0,2014-12-26,1084,暂无数据,--室--厅,高楼层(共25层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010009655.html,翠湖天地雅苑 3室2厅 133.57平米,133.57,None,1100.0,82354.0,2014-12-20,1078,暂无数据,3室2厅,高楼层(共9层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010009490.html,翠湖天地雅苑 3室2厅 170.77平米,170.77,1160,1160.0,67928.0,2014-12-18,1076,南,3室2厅,低楼层(共25层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010009180.html,翠湖天地雅苑 2室2厅 108.12平米,108.12,800,800.0,73992.0,2014-12-12,1070,南,2室2厅,低楼层(共29层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010009138.html,翠湖天地雅苑 2室2厅 119.8平米,119.8,880,880.0,73456.0,2014-11-21,1049,南,2室2厅,高楼层(共25层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010006953.html,翠湖天地雅苑 3室2厅 132.22平米,132.22,950,950.0,71850.0,2014-05-06,850,南,3室2厅,中楼层(共9层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010006147.html,翠湖天地雅苑 2室2厅 108.12平米,108.12,780,810.0,74917.0,2014-03-01,784,南,2室2厅,低楼层(共29层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010007670.html,翠湖天地雅苑 2室2厅 108.12平米,108.12,780,150.0,13874.0,2014-03-01,784,南,2室2厅,低楼层(共29层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010006152.html,翠湖天地雅苑 3室2厅 156.8平米,156.8,1142,1142.0,72832.0,2014-02-23,778,南,3室2厅,低楼层(共9层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010005412.html,翠湖天地雅苑 2室2厅 116.36平米,116.36,930,930.0,79925.0,2013-12-04,697,南,2室2厅,中楼层(共20层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010005232.html,翠湖天地雅苑 2室2厅 108.19平米,108.19,790,790.0,73020.0,2013-11-19,682,南,2室2厅,低楼层(共12层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010004630.html,翠湖天地雅苑 2室2厅 104.62平米,104.62,742,742.0,70924.0,2013-11-06,669,南,2室2厅,低楼层(共12层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010004953.html,翠湖天地雅苑 3室2厅 190.13平米,190.13,1500,1530.0,80472.0,2013-10-15,647,南,3室2厅,中楼层(共25层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010003231.html,翠湖天地雅苑 3室2厅 202.63平米,202.63,3000,1500.0,74027.0,2013-05-07,486,南,3室2厅,低楼层(共11层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010001550.html,翠湖天地雅苑 2室2厅 108.12平米,108.12,980,780.0,72143.0,2012-12-20,349,南,2室2厅,中楼层(共10层),其他,有电梯,2003
sh,https://sh.lianjia.com/chengjiao/107010001609.html,翠湖天地雅苑 2室2厅 108平米,108.0,1550,780.0,72223.0,2012-11-28,327,南,2室2厅,中楼层(共10层),其他,有电梯,2003
