city,xiaoqu_id,xiaoqu_name,ershoufang_id,ershoufang_title,ershoufang_href,area_sqm,total_selling_price,unit_selling_price,watchers,visits,post_days,facing,huxing,floor,furbishing,elevator,year
sz,2411100437885,宝能城,105101568720,地铁口 品牌大型社区 精装2+1房 正朝向看塘朗山景观!,https://sz.lianjia.com/ershoufang/105101568720.html?is_sem=1,75.49,725.0,96040.0,68,0,5个月以前,南,3室2厅,低楼层(共47层),精装,有电梯,2016
sz,2411100437885,宝能城,105101532547,大学城宝能城 南北通 看南科大全景 视野好 现房很实用,https://sz.lianjia.com/ershoufang/105101532547.html,153.37,1530.0,99759.0,11,7,5个月以前,南北,5室2厅,中楼层(共41层),精装,IndexError,2017
sz,2411100437885,宝能城,105102002386,宝能城 5室2厅 1400万,https://sz.lianjia.com/ershoufang/105102002386.html,133.91,1400.0,104548.0,3,4,9天以前,东南,5室2厅,中楼层(共42层),其他,IndexError,塔楼  -  大学城
sz,2411100437885,宝能城,105101793990,宝能城精装三房，业主诚心在卖。,https://sz.lianjia.com/ershoufang/105101793990.html,89.95,1000.0,111173.0,8,6,2个月以前,东,3室2厅,中楼层(共47层),其他,有电梯,2016
sz,2411100437885,宝能城,105101448984,宝能城 高层 朝南 看山景 精装4房2卫 双阳台业主急售,https://sz.lianjia.com/ershoufang/105101448984.html,132.1,1460.0,110523.0,17,0,7个月以前,南,4室2厅,中楼层(共41层),其他,IndexError,2017
sz,2411100437885,宝能城,105101449643,品牌小区 规划好 高楼层 视野开阔 3面采光通风好,https://sz.lianjia.com/ershoufang/105101449643.html,87.21,870.0,99760.0,12,2,7个月以前,西南,3室2厅,高楼层(共45层),其他,有电梯,2017
sz,2411100437885,宝能城,105101965718,塘朗地铁口物业，宝能城三居两卫，业主急售,https://sz.lianjia.com/ershoufang/105101965718.html,87.31,830.0,95064.0,40,11,1个月以前,东南,3室2厅,高楼层(共45层),精装,有电梯,2017
sz,2411100437885,宝能城,105101902442,大学城 宝能城 带装修现房 朝南 看山景 红本在手,https://sz.lianjia.com/ershoufang/105101902442.html,75.55,735.0,97287.0,26,6,1个月以前,南,3室2厅,中楼层(共47层),精装,有电梯,2016
sz,2411100437885,宝能城,105101973089,宝能城二期F栋 东南朝向 大阳台 位置安静 带装修现房,https://sz.lianjia.com/ershoufang/105101973089.html,88.57,900.0,101615.0,5,2,1个月以前,南,3室2厅,低楼层(共45层),精装,有电梯,2016
sz,2411100437885,宝能城,105101603168,宝能城 4室2厅 920万,https://sz.lianjia.com/ershoufang/105101603168.html,92.55,920.0,99406.0,16,0,4个月以前,南,4室2厅,中楼层(共47层),精装,有电梯,2016
sz,2411100437885,宝能城,105101921396,宝能城二期 品质小区 东南朝向 高楼层 带装修现房,https://sz.lianjia.com/ershoufang/105101921396.html,134.35,1400.0,104206.0,7,0,1个月以前,东南,4室2厅,高楼层(共42层),精装,IndexError,2017
sz,2411100437885,宝能城,105101533593,大型城市综合体  全新精装修大四房  地铁口 高拓展,https://sz.lianjia.com/ershoufang/105101533593.html,134.35,1500.0,111649.0,9,0,5个月以前,南北,4室2厅,高楼层(共42层),其他,IndexError,2017
sz,2411100437885,宝能城,105101888949,大学城宝能城，环境优美，舒适居所,https://sz.lianjia.com/ershoufang/105101888949.html,87.31,850.0,97355.0,1,11,1个月以前,西南,3室2厅,高楼层(共45层),其他,有电梯,2016
sz,2411100437885,宝能城,105101512014,大学城 宝能城二期 专利户型  很实用 带装修现房,https://sz.lianjia.com/ershoufang/105101512014.html,151.62,1460.0,96294.0,8,1,5个月以前,西北,5室2厅,中楼层(共47层),精装,有电梯,2017
sz,2411100437885,宝能城,105101532691,宝能城经典3房 南向 5号线塘朗站,https://sz.lianjia.com/ershoufang/105101532691.html,75.49,760.0,100676.0,4,1,5个月以前,南,3室2厅,高楼层(共47层),其他,有电梯,2016
