92539023,bluefrog蓝蛙(中关村店),http://www.dianping.com/shop/92539023,五星商户,2258,￥157,西餐,中关村,中关村大街15-9号中关村时代广场食宝街步行街R109号,N,N,group & shortdeal & takeaway
90313822,bluefrog蓝蛙(国贸商城店),http://www.dianping.com/shop/90313822,五星商户,2005,￥156,西餐,国贸,建国门外大街1号国贸商城北区六层NL6005,N,N,group & shortdeal & takeaway
122069226,bluefrog蓝蛙(合景·摩方店),http://www.dianping.com/shop/122069226,五星商户,972,￥145,西餐,崇文门,崇文门外大街1号合景摩方购物中心L4-01,N,N,group & shortdeal & takeaway
2662717,bluefrog蓝蛙(三里屯太古里店),http://www.dianping.com/shop/2662717,五星商户,5397,￥152,西餐,三里屯,三里屯北路19号三里屯太古里南区3层S2-30,N,N,group & shortdeal & takeaway
111875706,bluefrog蓝蛙(蓝色港湾店),http://www.dianping.com/shop/111875706,准五星商户,477,￥154,西餐,亮马桥/三元桥,朝阳公园路6号SOLANA蓝色港湾1层A131,N,N,group & shortdeal & takeaway
6074193,bluefrog蓝蛙(颐堤港店),http://www.dianping.com/shop/6074193,准五星商户,2844,￥151,西餐,酒仙桥,酒仙桥路18号颐堤港1层底商,N,N,group & shortdeal & takeaway
103547341,bluefrog蓝蛙(乐成SPACE3店),http://www.dianping.com/shop/103547341,五星商户,701,￥141,西餐,双井,东三环中路22号乐成中心SPACE3一楼07号,N,N,group & shortdeal & takeaway
5417975,bluefrog蓝蛙(悠唐购物中心店),http://www.dianping.com/shop/5417975,准五星商户,2774,￥145,西餐,朝外大街,三丰北里2号悠唐购物中心1层,N,N,group & shortdeal & takeaway
93526640,bluefrog蓝蛙(祥云小镇店),http://www.dianping.com/shop/93526640,准五星商户,585,￥163,西餐,国展,安泰大街9号院10号楼一层103、104号,N,N,group & shortdeal & takeaway
18597198,bluefrog蓝蛙(远洋光华国际店),http://www.dianping.com/shop/18597198,准五星商户,938,￥139,西餐,国贸,金桐西路10号,N,N,group & shortdeal & takeaway
