brand_name,food_category,total_stores,attendance_fee,corp_name,corp_address,corp_type,corp_capital,corp_reg_date,corp_location
之乐夫披萨,西餐,1000,1~5万,广州谷胜餐饮管理有限公司,广东省广州,有限责任公司,1000,2014-05-09,广东省广州市
味百咖喱,餐饮,20,20~50万,北京今日味百餐饮服务有限公司,北京市,股份有限公司,300,2001-09-01,北京市朝阳区东三环中
托尼比萨 TONY'S PIZZA,"匹萨,西餐",5,5~10万,成都托尼餐饮管理有限公司,四川省成都,股份有限公司,50,2008-07-04,中国四川省成都市武候
大秦面庄,面条,35,10~20万,大秦面庄,陕西省西安,其它,150,2003-12-01,陕西省西安市碑林区
速客士汉堡,汉堡\奶茶\炸鸡,113,1~5万,速客食品有限公司,江苏省苏州,股份有限公司,50,2005-05-01,江苏省苏州市昆山市
皇后印象烘焙,餐饮,1000,1~5万,秦皇岛君唯餐饮管理有限公司,河北省秦皇岛,有限责任公司,2500,2013-08-21,河北省秦皇岛市
快乐星汉堡,西式快餐加盟,3056,20~50万,上海斗石餐饮管理有限公司,上海市,有限责任公司,1000,2008-05-06,金沙江西路1555弄
麦香基,炸鸡汉堡,50,20~50万,福州麦可餐饮管理有限公司,福建省,私营企业,50,2000-07-08,福建省福州市台江区
权金城韩国烧烤,餐饮,100,100~200万,权金城企业管理北京有限公司,北京市,外商投资企业,8600,2000-09-01,北京市昌平区沙河镇豆
菊樱日本料理,日本料理,500,20~50万,佳斯顿餐饮管理有限公司,广东省,股份有限公司,100,2007-05-16,广东省深圳市罗湖区解
爵士牛排,西餐牛排,422,20~50万,青岛爵士牛排餐饮有限公司,山东省青岛,有限责任公司,200,1993-04-20,山东省青岛市上清路4
贝克汉堡,汉堡,5000,1~5万,源动力餐饮集团,北京市,股份有限公司,5000,,北京通州区九棵树地铁
七哥蛋塔,,100,1~5万,合肥七哥食品有限责任公司,,,,,
N多寿司,为餐饮企业提供管,1952,5~10万,客必思餐饮管理有限公司,江苏省无锡,有限责任公司,200,2012-04-16,江苏省无锡市梁溪区运
汉堡王,汉堡王,12100,10~20万,汉堡王,上海市,国有企业,1000,2005-05-01,上海市闸北区
食之秘餐饮,复合餐饮,200,50~100万,食之秘餐饮管理 (上海) 有限,上海市上海,股份有限公司,1000,,上海市西藏中路268
米斯特披萨,西餐,60,20~50万,北京米斯特比萨餐饮有限公司,北京市,私营企业,500,2000-07-31,北京市朝阳区新源南路
深圳汉堡,奶茶，汉堡，冷饮,529,5~10万,深圳市贝勒海餐饮管理有限公司,广东省深圳,有限责任公司,500,2001-06-08,广东省深圳市龙岗区
芭布诺比萨,,23,1~5万,上海芭布诺餐饮有限公司,上海市上海,其它,50,,上海市闸北区永兴路兴
好德林汉堡,汉堡,30,5~10万,好德林餐饮有限公司,江苏省盐城,股份有限公司,100,2005-01-01,江苏盐城滨海纬中路1
爵士牛排,牛排西餐厅,312,10~20万,青岛爵士牛排餐饮有限公司,山东省,股份有限公司,100,1993-04-02,山东省青岛市市北区上
牛意点牛排馆,,0,1~5万,成都牛意点餐饮管理有限公司,四川省成都,股份有限公司,,,成都市
禾果,饮品,35,10~20万,禾果(全球)连锁加盟事业,,,,,
豪客来西餐,西餐,200,20~50万,厦门豪客来餐饮娱乐有限公司,福建省厦门,国有企业,1600,1993-01-01,福建省厦门市思明区湖
禾绿回转寿司,日本料理,300,20~50万,深圳市禾绿餐饮管理有限公司,广东省深圳,股份有限公司,800,1997-10-02,深圳市罗湖区长岭村8
九阳豆坊,九阳商用豆浆机,10000,1万以下,九阳商用设备上海营运中心,上海市,国有企业,500,2005-07-28,上海市恒丰路638号
哈贝斯比萨,,130,1~5万,天创食缘国际文化传播有限公司,北京市北京,其它,30,2006-03-24,北京市海淀区莲花池东
麦立美汉堡,麦立美汉堡,1500,10~20万,麦立美汉堡店连锁,河南省郑州,私营企业,200,2001-05-02,河南省郑州市
克莉丝汀,"饮食,餐饮连锁,",92,100~200万,上海克莉丝汀食品有限公司,上海市,其它,100,1992-08-08,上海市普陀区金沙江路
变态薯薯条,薯条,35,5~10万,呼和浩特捭阖道餐饮管理有限责任,,,,,
吉布鲁牛排海鲜自助,餐饮,75,20~50万,吉布鲁餐饮管理有限公司,重庆市,有限责任公司,100,2008-07-01,重庆市
