city,district_name,subdistrict_name,subdistrict_xiaoqu_num,subdistrict_url
sh,徐汇,龙华, 171 ,http://sh.lianjia.com/xiaoqu/longhua/
sh,徐汇,上海南站, 45 ,http://sh.lianjia.com/xiaoqu/shanghainanzhan/
sh,徐汇,田林, 131 ,http://sh.lianjia.com/xiaoqu/tianlin/
sh,徐汇,万体馆, 75 ,http://sh.lianjia.com/xiaoqu/wantiguan/
sh,徐汇,徐汇滨江, 29 ,http://sh.lianjia.com/xiaoqu/xuhuibinjiang/
sh,徐汇,徐家汇, 527 ,http://sh.lianjia.com/xiaoqu/xujiahui/
sh,徐汇,斜土路, 188 ,http://sh.lianjia.com/xiaoqu/xietulu/
sh,徐汇,植物园, 30 ,http://sh.lianjia.com/xiaoqu/zhiwuyuan/
sh,普陀,长寿路, 283 ,http://sh.lianjia.com/xiaoqu/changshoulu/
sh,普陀,长风, 146 ,http://sh.lianjia.com/xiaoqu/changfeng1/
sh,普陀,曹杨, 100 ,http://sh.lianjia.com/xiaoqu/caoyang/
sh,普陀,长征, 110 ,http://sh.lianjia.com/xiaoqu/changzheng/
sh,普陀,光新, 100 ,http://sh.lianjia.com/xiaoqu/guangxin/
sh,普陀,甘泉宜川, 192 ,http://sh.lianjia.com/xiaoqu/ganquanyichuan/
sh,普陀,桃浦, 113 ,http://sh.lianjia.com/xiaoqu/taopu/
sh,普陀,武宁, 190 ,http://sh.lianjia.com/xiaoqu/wuning/
sh,普陀,万里, 90 ,http://sh.lianjia.com/xiaoqu/wanli/
sh,普陀,真光, 59 ,http://sh.lianjia.com/xiaoqu/zhenguang/
sh,普陀,中远两湾城, 46 ,http://sh.lianjia.com/xiaoqu/zhongyuanliangwancheng/
sh,普陀,真如, 237 ,http://sh.lianjia.com/xiaoqu/zhenru/
sh,杨浦,鞍山, 195 ,http://sh.lianjia.com/xiaoqu/anshan/
sh,杨浦,东外滩, 229 ,http://sh.lianjia.com/xiaoqu/dongwaitan/
sh,杨浦,黄兴公园, 259 ,http://sh.lianjia.com/xiaoqu/huangxinggongyuan/
sh,杨浦,控江路, 199 ,http://sh.lianjia.com/xiaoqu/kongjianglu/
sh,杨浦,五角场, 306 ,http://sh.lianjia.com/xiaoqu/wujiaochang/
sh,杨浦,新江湾城, 98 ,http://sh.lianjia.com/xiaoqu/xinjiangwancheng/
sh,杨浦,周家嘴路, 449 ,http://sh.lianjia.com/xiaoqu/zhoujiazuilu/
sh,杨浦,中原, 281 ,http://sh.lianjia.com/xiaoqu/zhongyuan1/
sh,长宁,北新泾, 136 ,http://sh.lianjia.com/xiaoqu/beixinjing/
sh,长宁,古北, 132 ,http://sh.lianjia.com/xiaoqu/gubei/
sh,长宁,虹桥, 102 ,http://sh.lianjia.com/xiaoqu/hongqiao1/
sh,长宁,天山, 95 ,http://sh.lianjia.com/xiaoqu/tianshan/
sh,长宁,西郊, 173 ,http://sh.lianjia.com/xiaoqu/xijiao/
sh,长宁,新华路, 354 ,http://sh.lianjia.com/xiaoqu/xinhualu/
sh,长宁,仙霞, 130 ,http://sh.lianjia.com/xiaoqu/xianxia/
sh,长宁,镇宁路, 177 ,http://sh.lianjia.com/xiaoqu/zhenninglu/
sh,长宁,中山公园, 660 ,http://sh.lianjia.com/xiaoqu/zhongshangongyuan/
sh,松江,车墩, 28 ,http://sh.lianjia.com/xiaoqu/chedun/
sh,松江,九亭, 244 ,http://sh.lianjia.com/xiaoqu/jiuting/
sh,松江,泖港, 4 ,http://sh.lianjia.com/xiaoqu/maogang/
sh,松江,石湖荡, 10 ,http://sh.lianjia.com/xiaoqu/shihudang/
sh,松江,莘闵别墅, 86 ,http://sh.lianjia.com/xiaoqu/shenminbieshu/
sh,松江,松江新城, 214 ,http://sh.lianjia.com/xiaoqu/songjiangxincheng/
sh,松江,佘山, 66 ,http://sh.lianjia.com/xiaoqu/sheshan/
sh,松江,松江大学城, 114 ,http://sh.lianjia.com/xiaoqu/songjiangdaxuecheng/
sh,松江,泗泾, 181 ,http://sh.lianjia.com/xiaoqu/sijing/
sh,松江,松江老城, 485 ,http://sh.lianjia.com/xiaoqu/songjianglaocheng/
sh,松江,新桥, 110 ,http://sh.lianjia.com/xiaoqu/xinqiao/
sh,松江,小昆山, 21 ,http://sh.lianjia.com/xiaoqu/xiaokunshan/
sh,松江,新浜, 11 ,http://sh.lianjia.com/xiaoqu/xinbang/
sh,松江,叶榭, 17 ,http://sh.lianjia.com/xiaoqu/yexie/
sh,嘉定,安亭, 234 ,http://sh.lianjia.com/xiaoqu/anting/
sh,嘉定,丰庄, 104 ,http://sh.lianjia.com/xiaoqu/fengzhuang/
sh,嘉定,华亭, 24 ,http://sh.lianjia.com/xiaoqu/huating/
sh,嘉定,嘉定老城, 204 ,http://sh.lianjia.com/xiaoqu/jiadinglaocheng/
sh,嘉定,嘉定新城, 173 ,http://sh.lianjia.com/xiaoqu/jiadingxincheng/
sh,嘉定,菊园新区, 112 ,http://sh.lianjia.com/xiaoqu/juyuanxinqu/
sh,嘉定,江桥, 272 ,http://sh.lianjia.com/xiaoqu/jiangqiao/
sh,嘉定,马陆, 30 ,http://sh.lianjia.com/xiaoqu/malu/
sh,嘉定,南翔, 262 ,http://sh.lianjia.com/xiaoqu/nanxiang/
sh,嘉定,上大, 100 ,http://sh.lianjia.com/xiaoqu/shangda/
sh,嘉定,外冈, 29 ,http://sh.lianjia.com/xiaoqu/waigang/
sh,嘉定,新成路, 66 ,http://sh.lianjia.com/xiaoqu/xinchenglu1/
sh,嘉定,徐行, 45 ,http://sh.lianjia.com/xiaoqu/xuxing/
sh,黄浦,打浦桥, 170 ,http://sh.lianjia.com/xiaoqu/dapuqiao/
sh,黄浦,董家渡, 131 ,http://sh.lianjia.com/xiaoqu/dongjiadu/
sh,黄浦,黄浦滨江, 81 ,http://sh.lianjia.com/xiaoqu/huangpubinjiang/
sh,黄浦,淮海中路, 393 ,http://sh.lianjia.com/xiaoqu/huaihaizhonglu/
sh,黄浦,老西门, 196 ,http://sh.lianjia.com/xiaoqu/laoximen/
sh,黄浦,南京东路, 399 ,http://sh.lianjia.com/xiaoqu/nanjingdonglu/
sh,黄浦,蓬莱公园, 162 ,http://sh.lianjia.com/xiaoqu/penglaigongyuan/
sh,黄浦,人民广场, 183 ,http://sh.lianjia.com/xiaoqu/renminguangchang/
sh,黄浦,世博滨江, 96 ,http://sh.lianjia.com/xiaoqu/shibobinjiang/
sh,黄浦,五里桥, 157 ,http://sh.lianjia.com/xiaoqu/wuliqiao/
sh,黄浦,新天地, 236 ,http://sh.lianjia.com/xiaoqu/xintiandi/
sh,黄浦,豫园, 292 ,http://sh.lianjia.com/xiaoqu/yuyuan/
sh,静安,曹家渡, 283 ,http://sh.lianjia.com/xiaoqu/caojiadu/
sh,静安,静安寺, 311 ,http://sh.lianjia.com/xiaoqu/jingansi/
sh,静安,江宁路, 321 ,http://sh.lianjia.com/xiaoqu/jiangninglu/
sh,静安,南京西路, 431 ,http://sh.lianjia.com/xiaoqu/nanjingxilu/
sh,闸北,不夜城, 245 ,http://sh.lianjia.com/xiaoqu/buyecheng/
