city,district_name,subdistrict_name,subdistrict_xiaoqu_num,subdistrict_url
bj,朝阳,垡头, 20 ,http://bj.lianjia.com/xiaoqu/fatou/
bj,朝阳,广渠门, 52 ,http://bj.lianjia.com/xiaoqu/guangqumen/
bj,朝阳,工体, 38 ,http://bj.lianjia.com/xiaoqu/gongti/
bj,朝阳,高碑店, 19 ,http://bj.lianjia.com/xiaoqu/gaobeidian/
bj,朝阳,国展, 30 ,http://bj.lianjia.com/xiaoqu/guozhan1/
bj,朝阳,甘露园, 14 ,http://bj.lianjia.com/xiaoqu/ganluyuan/
bj,朝阳,管庄, 21 ,http://bj.lianjia.com/xiaoqu/guanzhuang/
bj,朝阳,和平里, 76 ,http://bj.lianjia.com/xiaoqu/hepingli/
bj,朝阳,欢乐谷, 9 ,http://bj.lianjia.com/xiaoqu/huanlegu/
bj,朝阳,惠新西街, 59 ,http://bj.lianjia.com/xiaoqu/huixinxijie/
bj,朝阳,红庙, 34 ,http://bj.lianjia.com/xiaoqu/hongmiao/
bj,朝阳,华威桥, 14 ,http://bj.lianjia.com/xiaoqu/huaweiqiao/
bj,朝阳,健翔桥, 32 ,http://bj.lianjia.com/xiaoqu/jianxiangqiao1/
bj,朝阳,酒仙桥, 69 ,http://bj.lianjia.com/xiaoqu/jiuxianqiao/
bj,朝阳,劲松, 50 ,http://bj.lianjia.com/xiaoqu/jinsong/
bj,朝阳,建国门外, 58 ,http://bj.lianjia.com/xiaoqu/jianguomenwai/
bj,朝阳,立水桥, 25 ,http://bj.lianjia.com/xiaoqu/lishuiqiao1/
bj,朝阳,马甸, 78 ,http://bj.lianjia.com/xiaoqu/madian1/
bj,朝阳,农展馆, 31 ,http://bj.lianjia.com/xiaoqu/nongzhanguan/
bj,朝阳,南沙滩, 30 ,http://bj.lianjia.com/xiaoqu/nanshatan1/
bj,朝阳,潘家园, 27 ,http://bj.lianjia.com/xiaoqu/panjiayuan1/
bj,朝阳,三元桥, 32 ,http://bj.lianjia.com/xiaoqu/sanyuanqiao/
bj,朝阳,芍药居, 34 ,http://bj.lianjia.com/xiaoqu/shaoyaoju/
bj,朝阳,石佛营, 30 ,http://bj.lianjia.com/xiaoqu/shifoying/
bj,朝阳,十里堡, 20 ,http://bj.lianjia.com/xiaoqu/shilibao/
bj,朝阳,首都机场, 18 ,http://bj.lianjia.com/xiaoqu/shoudoujichang1/
bj,朝阳,双井, 55 ,http://bj.lianjia.com/xiaoqu/shuangjing/
bj,朝阳,十里河, 22 ,http://bj.lianjia.com/xiaoqu/shilihe/
bj,朝阳,十八里店, 22 ,http://bj.lianjia.com/xiaoqu/shibalidian1/
bj,朝阳,双桥, 53 ,http://bj.lianjia.com/xiaoqu/shuangqiao/
bj,朝阳,三里屯, 27 ,http://bj.lianjia.com/xiaoqu/sanlitun/
bj,朝阳,四惠, 23 ,http://bj.lianjia.com/xiaoqu/sihui/
bj,朝阳,通州北苑, 2001 ,http://bj.lianjia.com/xiaoqu/chaoyang/
bj,朝阳,团结湖, 25 ,http://bj.lianjia.com/xiaoqu/tuanjiehu/
bj,朝阳,太阳宫, 16 ,http://bj.lianjia.com/xiaoqu/taiyanggong/
bj,朝阳,甜水园, 22 ,http://bj.lianjia.com/xiaoqu/tianshuiyuan/
bj,朝阳,望京, 150 ,http://bj.lianjia.com/xiaoqu/wangjing/
bj,朝阳,西坝河, 19 ,http://bj.lianjia.com/xiaoqu/xibahe/
bj,朝阳,亚运村, 54 ,http://bj.lianjia.com/xiaoqu/yayuncun/
bj,朝阳,亚运村小营, 72 ,http://bj.lianjia.com/xiaoqu/yayuncunxiaoying/
bj,朝阳,燕莎, 40 ,http://bj.lianjia.com/xiaoqu/yansha1/
bj,朝阳,中央别墅区, 100 ,http://bj.lianjia.com/xiaoqu/zhongyangbieshuqu1/
bj,朝阳,朝阳其它, 10 ,http://bj.lianjia.com/xiaoqu/zhaoyangqita/
bj,海淀,奥林匹克公园, 47 ,http://bj.lianjia.com/xiaoqu/aolinpikegongyuan11/
bj,海淀,安宁庄, 28 ,http://bj.lianjia.com/xiaoqu/anningzhuang1/
bj,海淀,白石桥, 50 ,http://bj.lianjia.com/xiaoqu/baishiqiao1/
bj,海淀,北太平庄, 28 ,http://bj.lianjia.com/xiaoqu/beitaipingzhuang/
bj,海淀,厂洼, 22 ,http://bj.lianjia.com/xiaoqu/changwa/
bj,海淀,定慧寺, 63 ,http://bj.lianjia.com/xiaoqu/dinghuisi/
bj,海淀,二里庄, 18 ,http://bj.lianjia.com/xiaoqu/erlizhuang/
bj,海淀,公主坟, 84 ,http://bj.lianjia.com/xiaoqu/gongzhufen/
bj,海淀,甘家口, 75 ,http://bj.lianjia.com/xiaoqu/ganjiakou/
bj,海淀,海淀其它, 13 ,http://bj.lianjia.com/xiaoqu/haidianqita1/
bj,海淀,海淀北部新区, 86 ,http://bj.lianjia.com/xiaoqu/haidianbeibuxinqu1/
bj,海淀,军博, 50 ,http://bj.lianjia.com/xiaoqu/junbo1/
bj,海淀,六里桥, 56 ,http://bj.lianjia.com/xiaoqu/liuliqiao1/
bj,海淀,牡丹园, 48 ,http://bj.lianjia.com/xiaoqu/mudanyuan/
bj,海淀,马甸, 78 ,http://bj.lianjia.com/xiaoqu/madian1/
bj,海淀,马连洼, 55 ,http://bj.lianjia.com/xiaoqu/malianwa/
bj,海淀,清河, 90 ,http://bj.lianjia.com/xiaoqu/qinghe11/
bj,海淀,苏州桥, 81 ,http://bj.lianjia.com/xiaoqu/suzhouqiao/
bj,海淀,上地, 48 ,http://bj.lianjia.com/xiaoqu/shangdi1/
bj,海淀,世纪城, 33 ,http://bj.lianjia.com/xiaoqu/shijicheng/
bj,海淀,四季青, 48 ,http://bj.lianjia.com/xiaoqu/sijiqing/
bj,海淀,双榆树, 26 ,http://bj.lianjia.com/xiaoqu/shuangyushu/
bj,海淀,田村, 60 ,http://bj.lianjia.com/xiaoqu/tiancun1/
